"Latest: Time (s)","Latest: Temperature 1 (°C)","Latest: Temperature 2 (°C)","Latest: Temperature 3 (°C)","Latest: Force (N)"
780.9,37.7780811762,37.2718499736,39.2032199448,-0.00684986720444
781,37.7780811762,37.2718499736,39.2032199448,-0.0201466682483
781.1,37.7780811762,37.2718499736,39.2032199448,-0.000402933364967
781.2,37.7780811762,37.2718499736,39.2032199448,-0.00684986720444
781.3,37.7780811762,37.2718499736,39.2032199448,-0.00684986720444
781.4,37.7780811762,37.2457605995,39.2032199448,-0.00684986720444
781.5,37.7780811762,37.2718499736,39.2032199448,-0.00684986720444
781.6,37.7780811762,37.2718499736,39.2032199448,-0.00684986720444
781.7,37.8043087318,37.2718499736,39.2032199448,0.0060440004745
781.8,37.7780811762,37.2718499736,39.2032199448,-0.00684986720444
781.9,37.8043087318,37.2718499736,39.2032199448,0.0060440004745
782,37.8043087318,37.2718499736,39.2032199448,-0.000402933364967
782.1,37.7780811762,37.2718499736,39.176598797,-0.000402933364967
782.2,37.8043087318,37.2718499736,39.176598797,-0.00684986720444
782.3,37.8043087318,37.2718499736,39.2032199448,-0.000402933364967
782.4,37.8043087318,37.2718499736,39.176598797,-0.0201466682483
782.5,37.8043087318,37.2964107291,39.2032199448,-0.00684986720444
782.6,37.8043087318,37.2718499736,39.176598797,-0.00684986720444
782.7,37.8043087318,37.2718499736,39.176598797,-0.00684986720444
782.8,37.7780811762,37.2718499736,39.176598797,-0.0136997344089
782.9,37.8043087318,37.2718499736,39.176598797,-0.00684986720444
783,37.8043087318,37.2964107291,39.176598797,-0.0136997344089
783.1,37.8043087318,37.2964107291,39.176598797,-0.000402933364967
783.2,37.8043087318,37.2964107291,39.1515508212,-0.0136997344089
783.3,37.8289998599,37.2964107291,39.176598797,-0.000402933364967
783.4,37.8289998599,37.2964107291,39.1515508212,0.0060440004745
783.5,37.8289998599,37.2964107291,39.1515508212,-0.0201466682483
783.6,37.8289998599,37.2964107291,39.1515508212,-0.00684986720444
783.7,37.8289998599,37.3225129766,39.1249450029,0.0060440004745
783.8,37.8289998599,37.2964107291,39.1515508212,-0.000402933364967
783.9,37.8552409679,37.3225129766,39.1249450029,-0.00684986720444
784,37.8289998599,37.3225129766,39.1515508212,-0.00684986720444
784.1,37.8552409679,37.3225129766,39.1249450029,-0.00684986720444
784.2,37.8552409679,37.3225129766,39.1515508212,-0.00684986720444
