"Latest: Time (s)","Latest: Temperature 1 (°C)","Latest: Temperature 2 (°C)","Latest: Temperature 3 (°C)","Latest: Force (N)"
1184.9,48.8097599112,48.2421754968,47.943601608,-1.11934888788
1185,48.897994853,48.3010032267,47.8568020744,-1.18502702637
1185.1,48.9268357715,48.3010032267,47.9152448798,-1.1064550202
1185.2,48.8691684814,48.3010032267,47.943601608,-1.01418327962
1185.3,48.897994853,48.2706906257,47.8851307655,-0.639455250202
1185.4,48.897994853,48.2706906257,47.8284869367,-0.435973900894
1185.5,48.9268357715,48.3010032267,47.9152448798,-0.495205105544
1185.6,48.8691684814,48.2706906257,47.943601608,-0.784108328226
1185.7,48.897994853,48.2136742826,47.8568020744,-1.09315821916
1185.8,48.9268357715,48.3010032267,47.8284869367,-1.17858009253
1185.9,48.897994853,48.3295471401,47.9152448798,-1.22451449613
1186,48.8691684814,48.2706906257,47.943601608,-0.836892599036
1186.1,48.9268357715,48.2706906257,47.8284869367,-0.685792587174
1186.2,48.9863662292,48.3010032267,47.8851307655,-0.514948840428
1186.3,48.897994853,48.3295471401,47.9152448798,-0.514948840428
1186.4,48.897994853,48.2706906257,47.943601608,-0.784108328226
1186.5,48.9574952182,48.3010032267,47.8284869367,-1.05367074939
1186.6,48.9863662292,48.3010032267,47.8851307655,-1.19832382741
1186.7,48.9268357715,48.3295471401,47.9152448798,-1.15238942381
1186.8,48.9574952182,48.2706906257,47.8284869367,-0.942058207293
1186.9,48.9863662292,48.3010032267,47.798416924,-0.600370713801
1187,49.0170577133,48.3295471401,47.8568020744,-0.42912403369
1187.1,48.9268357715,48.3010032267,47.9152448798,-0.567330177873
1187.2,48.9863662292,48.2706906257,47.8284869367,-0.85663633392
1187.3,48.9863662292,48.3010032267,47.798416924,-0.994439544738
1187.4,48.9863662292,48.359890386,47.8568020744,-1.23096142997
1187.5,48.9268357715,48.3010032267,47.9152448798,-1.15238942381
1187.6,49.0170577133,48.3010032267,47.8284869367,-0.935208340088
1187.7,49.0459589378,48.359890386,47.8568020744,-0.67249578613
1187.8,48.9863662292,48.359890386,47.8851307655,-0.514948840428
1187.9,48.9863662292,48.3010032267,47.8851307655,-0.541139509151
1188,49.0170577133,48.3295471401,47.7701296574,-0.797405129269
1188.1,49.0766825882,48.359890386,47.8568020744,-1.02748008067
1188.2,48.9863662292,48.359890386,47.8851307655,-1.17858009253
1188.3,49.0170577133,48.3010032267,47.8284869367,-1.09315821916
1188.4,49.0170577133,48.3295471401,47.798416924,-0.91586753857
1188.5,49.0459589378,48.3884631993,47.8568020744,-0.626561382524
1188.6,48.9863662292,48.3010032267,47.9152448798,-0.42912403369
1188.7,49.0170577133,48.3010032267,47.8284869367,-0.534289641946
1188.8,49.0459589378,48.359890386,47.8284869367,-0.777661394386
1188.9,48.9863662292,48.3884631993,47.8568020744,-1.04722381555
1189,48.9574952182,48.3010032267,47.9152448798,-1.23096142997
1189.1,48.9863662292,48.3295471401,47.8284869367,-1.1455395566
