"Latest: Time (s)","Latest: Temperature 1 (°C)","Latest: Temperature 2 (°C)","Latest: Temperature 3 (°C)","Latest: Force (N)"
365.6,38.5680124199,37.574667286,39.7988070811,-1.06696755043
365.7,38.5929010651,37.574667286,39.8761074329,-0.797405129269
365.8,38.4902780771,37.5993014493,39.9029422051,-1.05367074939
365.9,38.5680124199,37.4731150793,39.8508588505,-0.54758644299
366,38.5680124199,37.574667286,39.824040367,-0.922314472409
366.1,38.5929010651,37.5993014493,39.8761074329,-0.534289641946
366.2,38.5167005159,37.4977244083,39.9282061521,-0.830042731832
366.3,38.5680124199,37.4731150793,39.8508588505,-0.72528005694
366.4,38.5929010651,37.5993014493,39.824040367,-0.60681764764
366.5,38.5680124199,37.6254818849,39.9029422051,-0.738173924619
366.6,38.5167005159,37.5485001084,39.9282061521,-0.711983255896
366.7,38.5929010651,37.5485001084,39.8508588505,-0.830042731832
366.8,38.6193525336,37.5993014493,39.8761074329,-0.889273936482
366.9,38.5929010651,37.6254818849,39.9029422051,-1.29019263462
367,38.5680124199,37.4977244083,39.9282061521,-1.4940769173
367.1,38.6193525336,37.5993014493,39.8508588505,-1.52026758602
367.2,38.6691639514,37.6254818849,39.9029422051,-1.40220811008
367.3,38.5929010651,37.6254818849,39.9282061521,-1.20477076125
367.4,38.6193525336,37.4977244083,39.8761074329,-1.05367074939
367.5,38.6442549037,37.5993014493,39.824040367,-0.882827002642
367.6,38.6442549037,37.6254818849,39.9282061521,-0.751470725663
367.7,38.5929010651,37.574667286,39.9550572856,-0.468611503456
367.8,38.6442549037,37.4731150793,39.8508588505,-0.370295762405
367.9,38.6442549037,37.5993014493,39.8761074329,-0.698686454853
368,38.6193525336,37.6254818849,39.9282061521,-0.863083267759
368.1,38.5680124199,37.4977244083,39.9550572856,-0.416230166011
368.2,38.6193525336,37.4977244083,39.8508588505,-1.25755503206
368.3,38.6691639514,37.5993014493,39.9282061521,-1.18502702637
368.4,38.5929010651,37.6254818849,39.9282061521,-1.53356438706
368.5,38.6193525336,37.4977244083,39.9282061521,-1.375614508
368.6,38.6442549037,37.5993014493,39.8508588505,-1.32968010439
368.7,38.6956371481,37.5993014493,39.9282061521,-1.15883635764
368.8,38.5929010651,37.5993014493,39.9282061521,-1.34942383927
368.9,38.6193525336,37.4977244083,39.9029422051,-1.07341448427
369,38.6442549037,37.5993014493,39.8508588505,-1.09315821916
369.1,38.6193525336,37.6254818849,39.9550572856,-1.27729876695
369.2,38.5680124199,37.574667286,39.9803366655,-1.00128941194
369.3,38.6193525336,37.4977244083,39.9029422051,-0.324361358798
369.4,38.6442549037,37.6254818849,39.9282061521,-1.04722381555
369.5,38.5929010651,37.6501285568,39.9550572856,-0.922314472409
369.6,38.5680124199,37.5993014493,40.0072042329,-1.06696755043
369.7,38.6193525336,37.6254818849,39.9282061521,-1.33612703823
369.8,38.6691639514,37.6254818849,39.9550572856,-1.54645825474
369.9,38.5929010651,37.6747813155,39.9803366655,-1.53356438706
370,38.6193525336,37.574667286,39.9550572856,-1.15883635764
370.1,38.6442549037,37.6254818849,39.9029422051,-0.942058207293
370.2,38.6956371481,37.6501285568,39.9803366655,-1.12619875508
370.3,38.5929010651,37.5993014493,40.0324991145,-0.42267709985
370.4,38.6193525336,37.574667286,39.9550572856,-0.968248876015
370.5,38.6442549037,37.6501285568,39.9029422051,-0.376742696244
370.6,38.6193525336,37.7009815571,40.0072042329,-1.34297690543
370.7,38.5680124199,37.6254818849,40.0324991145,-0.514948840428
370.8,38.6193525336,37.5993014493,39.9282061521,-1.39535824288
370.9,38.6442549037,37.6747813155,39.9803366655,-0.744620858459
371,38.5929010651,37.7009815571,40.0072042329,-1.39535824288
371.1,38.5415755001,37.6254818849,40.0324991145,-0.836892599036
371.2,38.5929010651,37.6747813155,39.9029422051,-1.11934888788
371.3,38.6442549037,37.6747813155,39.9550572856,-0.73172699078
371.4,38.5680124199,37.7256469153,40.0072042329,-0.942058207293
371.5,38.5929010651,37.6254818849,39.9282061521,-0.810701930313
371.6,38.5929010651,37.6747813155,39.8761074329,-0.4819083045
371.7,38.6193525336,37.7009815571,39.9550572856,-0.784108328226
371.8,38.5415755001,37.6747813155,40.0072042329,-0.317511491594
371.9,38.5929010651,37.6254818849,39.9282061521,-1.04722381555
372,38.5929010651,37.7009815571,39.9029422051,-0.849786466715
372.1,38.5680124199,37.7256469153,39.9550572856,-1.11934888788
372.2,38.5167005159,37.6501285568,40.0072042329,-0.803852063109
372.3,38.5929010651,37.6254818849,39.9029422051,-1.48762998346
372.4,38.6193525336,37.7009815571,39.9282061521,-1.18502702637
372.5,38.5680124199,37.7256469153,39.9550572856,-1.17858009253
372.6,38.5415755001,37.6254818849,39.9550572856,-0.928761406249
372.7,38.5929010651,37.6747813155,39.8761074329,-0.994439544738
372.8,38.6442549037,37.6747813155,39.9282061521,-1.03392701451
372.9,38.5680124199,37.7009815571,39.9282061521,-0.646305117407
373,38.5929010651,37.5993014493,39.8761074329,-1.11934888788
373.1,38.5929010651,37.6501285568,39.8508588505,-0.882827002642
373.2,38.6193525336,37.6747813155,39.9282061521,-0.23853655206
373.3,38.5415755001,37.6254818849,39.9550572856,-0.593520846596
373.4,38.5929010651,37.5993014493,39.8761074329,-0.514948840428
373.5,38.6193525336,37.6501285568,39.8508588505,-1.31678623671
373.6,38.5929010651,37.6747813155,39.9282061521,-0.803852063109
373.7,38.5167005159,37.5993014493,39.9550572856,-1.375614508
373.8,38.5929010651,37.5993014493,39.8508588505,-1.04722381555
373.9,38.6193525336,37.6501285568,39.9029422051,-1.31678623671
374,38.5929010651,37.6747813155,39.9282061521,-1.375614508
374.1,38.5680124199,37.5993014493,39.9550572856,-1.1455395566
374.2,38.5929010651,37.6501285568,39.8508588505,-1.11934888788
374.3,38.6442549037,37.6501285568,39.9282061521,-1.07986141811
